BL127,BID4181,Mon,11:00:00.0000000,18:00:00.0000000
BL127,BID4043,Mon,18:00:00.0000000,23:00:00.0000000
BL127,BID0649,Tue,11:00:00.0000000,18:00:00.0000000
BL127,BID2256,Tue,18:00:00.0000000,23:00:00.0000000
BL127,BID4641,Wed,11:00:00.0000000,18:00:00.0000000
BL127,BID6230,Wed,18:00:00.0000000,23:00:00.0000000
BL127,BID6838,Thu,9:00:00.0000000,17:00:00.0000000
BL127,BID8599,Thu,17:00:00.0000000,23:00:00.0000000
BL127,BID8935,Fri,9:00:00.0000000,17:00:00.0000000
BL127,BID3006,Fri,17:00:00.0000000,23:00:00.0000000
BL127,BID4625,Sat,8:00:00.0000000,17:00:00.0000000
BL127,BID9947,Sat,17:00:00.0000000,00:00:00.0000000
BL127,BID5800,Sun,8:00:00.0000000,17:00:00.0000000
BL127,BID4606,Sun,17:00:00.0000000,00:00:00.0000000
BL948,BID6005,Mon,11:00:00.0000000,18:00:00.0000000
BL948,BID6230,Mon,18:00:00.0000000,23:00:00.0000000
BL948,BID6015,Tue,11:00:00.0000000,18:00:00.0000000
BL948,BID3315,Tue,18:00:00.0000000,23:00:00.0000000
BL948,BID8306,Wed,11:00:00.0000000,18:00:00.0000000
BL948,BID6169,Wed,18:00:00.0000000,23:00:00.0000000
BL948,BID4885,Thu,9:00:00.0000000,17:00:00.0000000
BL948,BID3713,Thu,17:00:00.0000000,23:00:00.0000000
BL948,BID2593,Fri,9:00:00.0000000,17:00:00.0000000
BL948,BID3871,Fri,17:00:00.0000000,23:00:00.0000000
BL948,BID7987,Sat,8:00:00.0000000,17:00:00.0000000
BL948,BID5214,Sat,17:00:00.0000000,00:00:00.0000000
BL948,BID1978,Sun,8:00:00.0000000,17:00:00.0000000
BL948,BID7863,Sun,17:00:00.0000000,00:00:00.0000000
BL486,BID9485,Mon,11:00:00.0000000,18:00:00.0000000
BL486,BID5149,Mon,18:00:00.0000000,23:00:00.0000000
BL486,BID1209,Tue,11:00:00.0000000,18:00:00.0000000
BL486,BID8242,Tue,18:00:00.0000000,23:00:00.0000000
BL486,BID2078,Wed,11:00:00.0000000,18:00:00.0000000
BL486,BID8448,Wed,18:00:00.0000000,23:00:00.0000000
BL486,BID0518,Thu,9:00:00.0000000,17:00:00.0000000
BL486,BID3306,Thu,17:00:00.0000000,23:00:00.0000000
BL486,BID1369,Fri,9:00:00.0000000,17:00:00.0000000
BL486,BID5258,Fri,17:00:00.0000000,23:00:00.0000000
